lead_id,user_id,first_name,last_name,company,email,industry,company_size,source,stage,created_date,converted_date,loss_reason
led_00001,usr_0138,Diane,Harper,Chapman-Warren,vharrell@walker-maxwell.com,E-commerce,1-10,cold_call,converted,2025-09-27,2025-10-08,
led_00002,,Jason,Bailey,Wilson PLC,ewaller@guerrero-madden.org,SaaS / Software,500+,cold_call,demo_booked,2026-04-11,,no_show
led_00003,,Anthony,Bennett,Manning and Sons,brandontaylor@chen.com,Education Tech,11-50,linkedin,demo_booked,2025-08-28,,not_ready
led_00004,,John,Hawkins,Weber-Silva,jessica61@jones-gutierrez.com,Cybersecurity,1-10,cold_email,qualified,2026-02-26,,budget_constraint
led_00005,,Justin,Hansen,Stewart PLC,amandahughes@robinson.com,Education Tech,11-50,linkedin,new,2026-02-26,,no_response
led_00006,,Trevor,Payne,Hayes and Sons,usanchez@hunter-castillo.biz,Logistics,500+,cold_email,new,2025-10-03,,wrong_icp
led_00007,usr_0321,Angela,Rose,Carter Ventures Inc,sara65@chavez-hall.com,SaaS / Software,1-10,linkedin,converted,2025-05-22,2025-06-07,
led_00008,,Cody,Ford,"Wright, Rivera and Young",danielleking@caldwell-weiss.com,SaaS / Software,11-50,paid_ad,demo_booked,2025-05-27,,not_ready
led_00009,,Zachary,Reese,Porter-Vaughan,josemathews@wilson-henry.com,Education Tech,500+,referral,qualified,2025-08-29,,budget_constraint
led_00010,usr_0135,Monica,Becker,Anderson PLC,vincentwhitaker@jones-hensley.com,Education Tech,11-50,linkedin,converted,2025-06-27,2025-08-09,
led_00011,,Tiffany,Bonilla,Roberts Group,timothy96@jones.info,SaaS / Software,11-50,cold_email,demo_booked,2025-11-28,,no_show
led_00012,,Mary,Johnson,Jones-Cooper,lcampbell@watson-riley.org,Healthcare Tech,1-10,inbound,demo_booked,2025-12-14,,not_ready
led_00013,,Damon,Zuniga,"Clarke, Morris and Foster",ybryant@simpson.com,Logistics,51-200,linkedin,qualified,2026-01-28,,chose_competitor
led_00014,usr_0072,Timothy,Curry,Hall-Griffith,david82@robinson.com,SaaS / Software,1-10,inbound,converted,2025-12-15,2025-12-20,
led_00015,,Jeffrey,Leonard,"Lee, Miller and Lopez",williamsjames@hogan.com,E-commerce,51-200,cold_call,demo_booked,2025-10-29,,not_ready
led_00016,,Megan,Flynn,Morris Inc,dfaulkner@george-dawson.info,Healthcare Tech,51-200,referral,demo_booked,2026-03-22,,budget_constraint
led_00017,,Benjamin,Juarez,"Moore, Mann and Montgomery",tyler08@hutchinson.com,Education Tech,201-500,linkedin,demo_booked,2025-09-25,,chose_competitor
led_00018,,Katherine,Wilson,Miller Inc,johnsonebony@flynn-anderson.com,Real Estate Tech,51-200,linkedin,demo_booked,2025-07-11,,budget_constraint
led_00019,,Bryan,Hensley,Mendez LLC,edwardarias@harris.biz,HR Tech,1-10,cold_email,new,2025-11-04,,no_response
led_00020,usr_0423,Matthew,Perez,Anderson Solutions Group,adam72@hernandez.org,E-commerce,201-500,inbound,converted,2026-03-26,2026-04-10,
led_00021,,Mike,Weaver,Martin-Jones,mayeredward@maxwell-clark.info,Education Tech,11-50,paid_ad,demo_booked,2025-11-24,,chose_competitor
led_00022,,Katrina,Barnes,"Smith, Carter and Fuller",brianking@phillips-williams.com,Real Estate Tech,51-200,cold_call,demo_booked,2026-01-09,,no_show
led_00023,,Lauren,Taylor,Aguilar-Simmons,thomasderek@reyes.com,Cybersecurity,51-200,cold_email,new,2026-01-27,,wrong_icp
led_00024,,Kim,Jennings,"Andrews, Mathis and Mcguire",matthew08@daniel.com,Logistics,1-10,linkedin,demo_booked,2025-11-21,,no_show
led_00025,,John,Gilbert,"Fletcher, Harrison and Martin",coxjoseph@palmer.com,Real Estate Tech,51-200,cold_call,demo_booked,2026-02-23,,no_show
led_00026,,Sandra,Graham,Rosales-Collins,maryday@greer.info,Marketing / AdTech,1-10,linkedin,demo_booked,2025-12-01,,chose_competitor
led_00027,,Christine,Williams,Barrett-Reynolds,browngreg@velazquez.com,Healthcare Tech,51-200,linkedin,demo_booked,2026-01-04,,chose_competitor
led_00028,usr_0402,Sarah,Singh,Christian Digital Ltd,charlesvasquez@rivera.com,Real Estate Tech,500+,cold_email,converted,2025-10-07,2025-12-02,
led_00029,,Amanda,Davidson,Harmon-Price,lisaguerra@rivera-cain.biz,Fintech,11-50,cold_call,demo_booked,2025-08-18,,chose_competitor
led_00030,usr_0311,Shawn,Alexander,Crawford Tech,brian92@moore-ayala.org,Marketing / AdTech,51-200,cold_call,converted,2025-06-26,2025-07-17,
led_00031,,Diane,Atkinson,Johnson-Jackson,barryburns@mcdaniel-sharp.biz,SaaS / Software,1-10,cold_email,demo_booked,2025-08-26,,not_ready
led_00032,,Mitchell,Vang,"Keller, Strong and Flores",nmartinez@ramos.net,SaaS / Software,11-50,linkedin,qualified,2025-09-02,,wrong_icp
led_00033,,Tyler,Barnes,Miller-Snow,michelle33@thomas-brooks.com,Logistics,51-200,referral,new,2025-07-21,,no_response
led_00034,usr_0200,Aimee,Smith,"Vaughan, Rodriguez and Smith",robert63@shaw-carr.info,Logistics,1-10,cold_email,converted,2025-11-11,2025-12-05,
led_00035,,Lauren,Thompson,Walker-Taylor,harrymartinez@dennis.com,HR Tech,1-10,cold_email,qualified,2025-07-21,,no_response
led_00036,usr_0031,Tyler,Williams,Mahoney Inc,mikemoore@warner.net,Fintech,1-10,inbound,converted,2026-01-19,2026-02-05,
led_00037,usr_0216,Anthony,Hunt,Green Digital Inc,heather01@parker-sullivan.net,HR Tech,11-50,paid_ad,converted,2025-10-28,2025-11-11,
led_00038,,Joe,Young,Berry Inc,stephen28@cook-mcmahon.com,Healthcare Tech,11-50,paid_ad,qualified,2025-06-02,,wrong_icp
led_00039,usr_0414,Denise,Phillips,Evans Labs,jennifer83@clark.com,E-commerce,51-200,paid_ad,converted,2026-04-02,2026-04-10,
led_00040,usr_0462,Scott,Poole,Chapman-Figueroa,colemanjonathan@kent.com,SaaS / Software,201-500,cold_email,converted,2025-03-19,2025-05-07,
led_00041,,Lindsey,Montoya,"Morrison, Burton and Bennett",palmerkenneth@carter.com,Education Tech,1-10,cold_email,demo_booked,2025-05-31,,not_ready
led_00042,,Rebecca,Johnson,Thompson PLC,bethsmith@scott.biz,Education Tech,11-50,cold_email,new,2026-02-24,,duplicate
led_00043,usr_0326,Patrick,Richardson,Gonzalez Group,gina19@green.com,Real Estate Tech,11-50,referral,converted,2026-02-27,2026-03-26,
led_00044,,April,Martin,Walton-Fuller,kevin25@mcgrath-lin.com,Education Tech,11-50,referral,new,2025-05-28,,wrong_icp
led_00045,,Ellen,Hunter,"Davis, Escobar and Williams",jharper@terry-floyd.org,Marketing / AdTech,51-200,cold_email,demo_booked,2025-04-15,,chose_competitor
led_00046,,Danny,Olson,West Inc,susan85@taylor-christian.net,Logistics,51-200,cold_email,qualified,2026-03-27,,wrong_icp
led_00047,usr_0113,Kristopher,Barnett,Price AI,ellen86@newton.com,Marketing / AdTech,1-10,cold_email,converted,2025-04-10,2025-05-11,
led_00048,,Joshua,Stevenson,"Flores, Phillips and Thomas",rhanson@glenn-moore.org,Education Tech,1-10,cold_email,qualified,2025-07-20,,budget_constraint
led_00049,,Brian,Richmond,Mcgee-Russo,mark58@jennings-brock.com,Healthcare Tech,1-10,linkedin,new,2025-08-28,,wrong_icp
led_00050,,James,Burgess,Durham Ltd,matthew65@harvey.com,Cybersecurity,11-50,cold_email,qualified,2025-08-01,,wrong_icp
led_00051,,Christian,Hodges,"Koch, Santos and Price",ocole@pratt.com,Fintech,201-500,cold_email,demo_booked,2025-07-08,,no_show
led_00052,usr_0140,Dustin,Griffin,"Hernandez, Malone and Jones",kmarshall@cole.org,Logistics,201-500,inbound,converted,2025-12-27,2026-01-16,
led_00053,,Carlos,Marshall,Williams Group,erika10@jacobs.com,Cybersecurity,11-50,paid_ad,qualified,2026-03-15,,chose_competitor
led_00054,usr_0063,Patrick,Stevens,Sanders Digital Group,charlesvaughn@sanchez.org,E-commerce,1-10,linkedin,converted,2025-04-05,2025-05-13,
led_00055,,Audrey,Bailey,Keller Ltd,debrahoward@anderson-bautista.info,Healthcare Tech,51-200,inbound,demo_booked,2025-10-22,,not_ready
led_00056,,Thomas,Glenn,Hernandez-Lopez,angelica73@goodwin-sandoval.com,Healthcare Tech,11-50,cold_email,new,2025-05-04,,no_response
led_00057,,Cody,Nguyen,Dunn Group,scortez@grant.info,Logistics,11-50,linkedin,new,2025-04-21,,wrong_icp
