user_id,company_name,email,plan,mrr,status,signup_date,churn_date,churn_reason,payment_failures,country,industry,created_at,account_age_days,acquisition_channel,signup_month
usr_0001,Fowler Tech,figueroajohn@doyle.net,starter,49,active,2026-03-25,,,0,US,Logistics,2026-03-25,26,paid_ads,2026-03
usr_0002,Garza Inc,davisjesse@johnson.net,growth,149,active,2026-04-13,,,0,US,Fintech,2026-04-13,7,paid_ads,2026-04
usr_0003,Robinson-Lawrence,blakeerik@peterson-moore.com,pro,399,churned,2025-08-27,2025-11-28,switched_competitor,0,US,Real Estate Tech,2025-08-27,236,sales,2025-08
usr_0004,Davis Inc,melanie94@blair.com,pro,399,active,2025-10-27,,,0,US,Education Tech,2025-10-27,175,paid_ads,2025-10
usr_0005,Dudley Digital Inc,smiller@montgomery.com,growth,149,churned,2025-06-29,2025-08-11,missing_features,2,US,HR Tech,2025-06-29,295,sales,2025-06
usr_0006,Williams Analytics Inc,kendragalloway@delacruz.com,growth,149,active,2026-01-12,,,0,US,Education Tech,2026-01-12,98,organic,2026-01
usr_0007,Chavez Solutions Group,francisco53@adams.org,starter,49,churned,2025-12-13,2026-03-31,switched_competitor,1,GB,E-commerce,2025-12-13,128,organic,2025-12
usr_0008,Reid Solutions Inc,frankgray@watts.com,growth,149,active,2026-04-03,,,0,FR,SaaS / Software,2026-04-03,17,referral,2026-04
usr_0009,Underwood LLC,nadams@walter.biz,enterprise,999,active,2025-12-14,,,0,US,Cybersecurity,2025-12-14,127,paid_ads,2025-12
usr_0010,"Ellis, Baker and Wright",julie69@cox-osborn.com,growth,149,active,2026-01-13,,,0,US,Real Estate Tech,2026-01-13,97,paid_ads,2026-01
usr_0011,Hicks Solutions Inc,camposmichelle@burton.biz,growth,149,active,2026-04-04,,,2,FR,E-commerce,2026-04-04,16,paid_ads,2026-04
usr_0012,Carlson Solutions Group,djames@king.com,growth,149,active,2026-02-09,,,0,AU,Fintech,2026-02-09,70,paid_ads,2026-02
usr_0013,"Dyer, Potter and Mack",daniel62@smith-bowen.com,pro,399,churned,2025-11-29,2026-03-07,too_expensive,1,ZA,Logistics,2025-11-29,142,organic,2025-11
usr_0014,"Gill, Romero and Rodriguez",meagan89@hernandez.net,pro,399,churned,2025-11-21,2026-02-07,switched_competitor,2,GB,E-commerce,2025-11-21,150,sales,2025-11
usr_0015,Ashley Ventures Inc,georgetracy@hickman.com,growth,149,active,2026-03-31,,,0,US,SaaS / Software,2026-03-31,20,partner,2026-03
usr_0016,Brown Labs,millertodd@spence.com,enterprise,999,active,2026-03-09,,,0,AU,E-commerce,2026-03-09,42,partner,2026-03
usr_0017,Anderson Analytics Group,karroyo@rose-obrien.com,growth,149,active,2026-01-10,,,0,US,Logistics,2026-01-10,100,organic,2026-01
usr_0018,"Campos, Vaughn and Marquez",pcarney@kim-holmes.com,starter,49,churned,2026-02-22,2026-03-31,too_expensive,4,CA,SaaS / Software,2026-02-22,57,sales,2026-02
usr_0019,Walker LLC,chapmanjerry@smith.com,growth,149,active,2025-11-18,,,1,US,Healthcare Tech,2025-11-18,153,paid_ads,2025-11
usr_0020,Jones Inc,chad34@washington.org,starter,49,active,2026-03-26,,,0,FR,Cybersecurity,2026-03-26,25,paid_ads,2026-03
usr_0021,Johnston Systems,kristenaguirre@davis.biz,pro,399,churned,2025-08-09,2025-10-21,missing_features,0,US,Fintech,2025-08-09,254,organic,2025-08
usr_0022,Henderson-Owens,nuneztracey@brown.com,pro,399,churned,2025-11-14,2026-04-19,too_expensive,2,US,Fintech,2025-11-14,157,partner,2025-11
usr_0023,Mcbride Analytics Ltd,wrightjames@taylor-white.info,pro,399,churned,2025-06-20,2025-08-19,missing_features,2,GB,Cybersecurity,2025-06-20,304,sales,2025-06
usr_0024,Baxter Inc,jmorton@williams.com,growth,149,active,2026-03-02,,,0,AU,HR Tech,2026-03-02,49,referral,2026-03
usr_0025,House and Sons,richardolson@barrera-martin.com,growth,149,active,2025-11-30,,,0,US,Marketing / AdTech,2025-11-30,141,partner,2025-11
usr_0026,Baker-Bowers,smitchell@cowan.com,starter,49,churned,2025-07-11,2026-01-13,missing_features,2,US,E-commerce,2025-07-11,283,organic,2025-07
usr_0027,Phillips Inc,adkinsbrian@woods.com,starter,49,active,2026-02-11,,,0,GB,Real Estate Tech,2026-02-11,68,organic,2026-02
usr_0028,"Miller, Lopez and Larson",richarddavid@sanchez.biz,enterprise,999,churned,2025-06-01,2026-01-20,switched_competitor,0,GB,Logistics,2025-06-01,323,paid_ads,2025-06
usr_0029,Sandoval Labs,sarah35@baker.com,pro,399,active,2026-01-11,,,0,NL,Marketing / AdTech,2026-01-11,99,referral,2026-01
usr_0030,Bryant Works,smithchristine@ferrell.com,pro,399,active,2026-01-31,,,1,US,HR Tech,2026-01-31,79,organic,2026-01
usr_0031,Mahoney Inc,mikemoore@warner.net,starter,49,churned,2026-02-05,2026-03-06,switched_competitor,3,DE,Fintech,2026-02-05,74,paid_ads,2026-02
usr_0032,Contreras PLC,sarah12@wilson-rodriguez.net,growth,149,churned,2026-02-06,2026-04-07,too_expensive,0,US,SaaS / Software,2026-02-06,73,referral,2026-02
usr_0033,Moore HQ,cassandra53@walters.com,starter,49,active,2025-06-30,,,0,US,HR Tech,2025-06-30,294,sales,2025-06
usr_0034,Davis Labs,ccalderon@cook.com,starter,49,active,2025-06-21,,,1,US,Education Tech,2025-06-21,303,sales,2025-06
usr_0035,Figueroa PLC,hhoffman@landry.com,starter,49,active,2025-11-11,,,2,AU,Healthcare Tech,2025-11-11,160,referral,2025-11
usr_0036,Gardner Analytics Inc,brandi26@williams.com,starter,49,churned,2025-09-06,2026-02-15,switched_competitor,3,NL,E-commerce,2025-09-06,226,sales,2025-09
usr_0037,Clark-Wright,gomezanita@dickson-brady.com,starter,49,churned,2025-12-11,2026-03-29,too_expensive,3,US,Fintech,2025-12-11,130,sales,2025-12
usr_0038,Cherry and Sons,vjohnson@patton-jenkins.com,starter,49,active,2026-04-02,,,0,US,Healthcare Tech,2026-04-02,18,paid_ads,2026-04
usr_0039,Adams Works,reyesbenjamin@walker-velasquez.info,starter,49,churned,2025-07-03,2025-09-11,poor_onboarding,0,US,HR Tech,2025-07-03,291,paid_ads,2025-07
usr_0040,Torres-Pope,jeffreykeller@murphy-lin.com,enterprise,999,active,2026-03-22,,,0,US,Marketing / AdTech,2026-03-22,29,organic,2026-03
usr_0041,May-Ross,sheila14@carpenter.com,growth,149,active,2025-09-13,,,0,SG,HR Tech,2025-09-13,219,paid_ads,2025-09
usr_0042,Carlson LLC,samuel81@lam-lee.com,growth,149,active,2026-03-19,,,0,CA,Marketing / AdTech,2026-03-19,32,referral,2026-03
usr_0043,"Graham, Meyer and Drake",michaeljones@mccall.com,starter,49,churned,2025-10-04,2026-01-06,too_expensive,2,GB,Logistics,2025-10-04,198,paid_ads,2025-10
usr_0044,Cortez Ventures Ltd,william65@terry-spencer.com,growth,149,active,2025-10-08,,,0,US,Healthcare Tech,2025-10-08,194,organic,2025-10
usr_0045,Ortega-Gray,christinaturner@bass.org,starter,49,active,2025-10-05,,,0,AU,E-commerce,2025-10-05,197,partner,2025-10
usr_0046,"Pena, Marshall and Ramos",williamleon@jackson.org,starter,49,active,2026-04-14,,,0,US,Logistics,2026-04-14,6,sales,2026-04
usr_0047,Davis-Crane,emilywalker@hernandez.com,growth,149,churned,2025-09-13,2025-11-13,missing_features,2,NL,Education Tech,2025-09-13,219,sales,2025-09
usr_0048,Riggs Solutions Ltd,gibsonolivia@lee.com,enterprise,999,active,2025-11-25,,,0,US,Healthcare Tech,2025-11-25,146,sales,2025-11
usr_0049,Douglas Inc,osbornejeffery@holmes.com,enterprise,999,active,2025-10-30,,,1,AU,Cybersecurity,2025-10-30,172,referral,2025-10
usr_0050,Bryant AI,jcontreras@stewart.net,growth,149,active,2025-06-22,,,0,IN,Education Tech,2025-06-22,302,organic,2025-06
usr_0051,Rivas-Kelley,juliawells@walton-larsen.com,growth,149,churned,2025-10-18,2025-11-21,missing_features,0,DE,Logistics,2025-10-18,184,organic,2025-10
usr_0052,Cannon Labs,rsims@jones-mitchell.com,growth,149,churned,2025-09-18,2025-11-19,switched_competitor,1,US,E-commerce,2025-09-18,214,organic,2025-09
usr_0053,Flores-Fernandez,edwardreyes@mccarthy.biz,starter,49,churned,2025-07-01,2025-08-26,no_longer_needed,1,KE,Real Estate Tech,2025-07-01,293,paid_ads,2025-07
